name,Movement,Case material,Year of production,Condition,Reference number,Scope of delivery,Location,Case diameter,price
Patek Philippe Perpetual Calendar,Automatic,Yellow gold,1993,Very good,3940J,"No original box, no original papers","UAE, Dubai",36 mm,"$57,905"
Patek Philippe Perpetual Calendar Chronograph,Manual winding,White gold,-,New,5204G-001,"Original box, original papers","Portugal, 391",40 mm,Price on request
Patek Philippe Nautilus,Automatic,White gold,2023,New,5719/10G-010,"Original box, original papers","United States of America, New York, New York",40 mm,Price on request
Patek Philippe Aquanaut,Quartz,Steel,2022,Unworn,5067A-001,"Original box, original papers","United States of America, Florida, Miami",35.6 mm,Price on request
Patek Philippe Nautilus,Automatic,Steel,2000,Very good,3800/1A-001,"Original papers, no original box","Italy, Senigallia",37 mm,"$54,453"
Patek Philippe Grand Complications,Manual winding,Platinum,2008,Very good,5101P-010,"Original box, original papers","Switzerland, Geneva",51 x 29 mm,Price on request
Patek Philippe Calatrava,Automatic,Rose gold,-,Very good,5296R-001,"No original box, no original papers","China, SHANGHAI",38 mm,"$20,965"
Patek Philippe Calatrava,Automatic,Steel,2022,Unworn,5212A-001,"Original box, original papers","United States of America, New York, Brooklyn",40 mm,"$42,995"
Patek Philippe Nautilus,Automatic,Rose gold,2017,New,5711/1R-001,"Original box, original papers","Italy, MILANO - MUNICH - FROSINONE - MANFREDONIA",40 mm,"$170,375"
Patek Philippe Aquanaut,Automatic,Rose gold,2024,Unworn,5072R-001,"Original box, original papers","United States of America, Florida, Miami",35.6 mm,"$180,397"
Patek Philippe Calatrava,Manual winding,Yellow gold,1951,Very good,2428J,"No original box, no original papers","United States of America, California, West Hollywood",34 mm,"$13,500"
Patek Philippe Calatrava,Automatic,Steel,2020,New,5212A-001,"Original box, original papers","United States of America, New York, New York",40 mm,"$43,475"
Patek Philippe Perpetual Calendar Chronograph,Manual winding,Rose gold,2004,Very good,3970ER,"Original box, original papers","Sweden, Stockholm",36 mm,"$146,635"
Patek Philippe Nautilus,Automatic,White gold,-,Unworn,5712G-001,"Original box, original papers","United States of America, New York, New York",40 x 38 mm,Price on request
Patek Philippe Perpetual Calendar,Automatic,Rose gold,2022,Very good,5327R-001,"Original box, original papers","United States of America, Texas, Austin",38.5 x 46.5 mm,"$79,500"
Patek Philippe Perpetual Calendar Chronograph,Manual winding,Platinum,-,New,5271/11P-010,"Original box, original papers","UAE, Dubai",41 mm,"$949,234"
Patek Philippe Aquanaut,-,Rose gold,2024,Unworn,5269R-001,"Original box, original papers","United States of America, Florida, Miami",38.8 mm,"$88,999"
Patek Philippe Calatrava,Manual winding,-,-,Fair,3520/D,"No original box, no original papers","Japan, Toshimaku",32 mm,"$7,469"
Patek Philippe Calatrava,Automatic,White gold,2021,Unworn,5297g-001,"Original box, original papers","United States of America, New York, Airmont",38 mm,"$38,438"
Patek Philippe Annual Calendar Chronograph,Automatic,Rose gold,-,Unworn,5905R-001,"Original box, original papers","United States of America, Florida, North Miami Beach",42 mm,"$81,000"
Patek Philippe Calatrava,Automatic,Yellow gold,-,Very good,3758,"No original box, no original papers","United Kingdom, London",36 mm,"$16,292"
Patek Philippe Aquanaut,Automatic,Rose gold,-,Very good,5167R-001,"Original papers, no original box","United States of America, California, Newport Beach",40 mm,"$76,750"
Patek Philippe Aquanaut,Automatic,Steel,2020,Unworn,5167A-012,"Original box, original papers","United Kingdom, London",40 mm,"$182,459"
Patek Philippe Travel Time,Automatic,White gold,2022,New,5524G-001,"Original box, original papers","United States of America, New York, New York",42 mm,"$49,888"
Patek Philippe Aquanaut,Automatic,Steel,2022,Unworn,5167A-001,"Original box, original papers","United States of America, New York, New York",40 mm,"$67,999"
Patek Philippe Nautilus,Automatic,Steel,2022,New,5711-1300A-001,"Original box, original papers","United States of America, New York, New York",-,"$885,000"
Patek Philippe Gondolo,Manual winding,White gold,2024,New,7042/100G-010,"Original box, original papers","Hong Kong, MONG KOK",31 x 38.4 mm,"$320,232"
Patek Philippe Aquanaut,Automatic,Steel,-,New,5968A-001,"Original box, original papers","United States of America, New York, Massapequa Park",42.2 mm,"$139,993"
Patek Philippe Annual Calendar,Manual winding,White gold,2001,Unworn,5150G,"Original box, original papers","Italy, Riccione",37 mm,"$59,999"
Patek Philippe,Manual winding,Yellow gold,-,Very good,3820,"No original box, no original papers","United States of America, New York, New York",32 mm,"$12,500"
Patek Philippe Nautilus,Automatic,Steel,2023,New,7118/1200A-001,"Original box, original papers","Spain, Madrid",35.2 mm,Price on request
Patek Philippe Calatrava,Manual winding,Yellow gold,-,Very good,565,"No original box, no original papers","United States of America, California, West Hollywood",35 mm,"$88,000"
Patek Philippe Aquanaut,Automatic,Steel,2023,New,5968A-001,"Original box, original papers","Spain, Madrid",42.2 mm,Price on request
Patek Philippe Nautilus,Automatic,Steel,2008,New,5980/1A-001,"Original box, original papers","United States of America, California, Beverly Hills",40.5 x 44 mm,"$279,500"
Patek Philippe Calatrava,Automatic,Yellow gold,-,Very good,3992YG,"No original box, no original papers","Hong Kong, 999077",33 mm,"$13,228"
Patek Philippe Annual Calendar,Automatic,White gold,2012,New,5205G-010,"Original box, original papers","United States of America, New York, New York",40 mm,"$49,750"
Patek Philippe Aquanaut,Automatic,Rose gold,2019,Very good,5167R-001,"Original box, original papers","Italy, Roma",40 mm,Price on request
Patek Philippe Calatrava,Automatic,White gold,1964,Good,3445G,"No original box, no original papers","Japan, Musashino-Shi",35 mm,"$15,603"
Patek Philippe Celestial,Automatic,Rose gold,-,Unworn,6104R-001,"Original box, original papers","United States of America, New York, New York",44 mm,Price on request
Patek Philippe Nautilus,Automatic,Steel,2013,Very good,5980/1A-019,"Original box, original papers","United States of America, New York, New York",40.5 mm,"$108,999"
Patek Philippe Nautilus,Quartz,Rose gold,2023,New,7010/1R-012,"Original box, original papers","United States of America, New York, New York",32 mm,"$85,700"
Patek Philippe Calatrava,-,White gold,2022,-,110. 6119G001,"Original box, original papers","United States of America, New Hampshire, Nashua",39 mm,"$28,500"
Patek Philippe Gondolo,Manual winding,White gold,1995,Good,5014G-001,"No original box, no original papers","The Netherlands, Genemuiden",28 x 34 mm,"$12,026"
Patek Philippe Vintage,Manual winding,White gold,-,Good,-,"No original box, no original papers","UAE, Abu Dhabi",28 mm,"$10,345"
Patek Philippe Nautilus,Automatic,Steel,2007,Very good,5711 1A-001,"Original box, original papers","Italy, Formigine",40 x 38 mm,"$102,448"
Patek Philippe Nautilus,Automatic,Rose gold,2024,New,5980/1R-001,"Original box, original papers","Turkey, Istanbul",40.5 mm,"$275,000"
Patek Philippe Nautilus,Automatic,Rose gold,2020,Very good,5980/1R-001,"Original box, original papers","Monaco, Monaco",40.5 mm,"$206,007"
Patek Philippe Calatrava,Automatic,White gold,-,Very good,5153G-001,"Original box, original papers","Japan, Nagoya Shi Naka Ku",38 mm,"$27,554"
Patek Philippe Nautilus,Automatic,White gold,2017,Unworn,5976/1G,"Original box, original papers","United States of America, Florida, Miami",44 mm,"$494,000"
Patek Philippe Annual Calendar Chronograph,Automatic,Platinum,2019,Unworn,5905P-010,"Original box, original papers","United States of America, New York, New York",42 mm,"$75,888"
Patek Philippe Golden Ellipse,Automatic,White gold,1973,Good,3604,"No original box, no original papers",Romania,37 mm,"$31,736"
Patek Philippe Nautilus,Automatic,Steel,2014,Very good,5712/1A-001,"Original box, original papers","United States of America, New York, New York",40 mm,"$100,799"
Patek Philippe Grandmaster Chime,Automatic,Gold/Steel,2023,Unworn,6300GR-001,"Original box, original papers","United States of America, Florida, Miami",47.7 mm,Price on request
Patek Philippe Nautilus,Automatic,Steel,-,Very good,5711,"Original box, original papers","United States of America, New York, Great Neck",27 mm,"$109,999"
Patek Philippe Nautilus,Automatic,Steel,2021,Unworn,5712/1A,"Original box, original papers","United States of America, California, Del Mar",40 mm,"$127,500"
Patek Philippe Annual Calendar,Automatic,Rose gold,2016,Very good,5146R-001,"Original box, original papers","United States of America, Ohio, Cincinnati",39 mm,"$35,875"
Patek Philippe Aquanaut,Automatic,Rose gold,-,Very good,5068R-010,"No original box, no original papers","United States of America, New York, Great Neck",36 mm,"$69,999"
Patek Philippe Calatrava,Automatic,White gold,2022,Very good,5226G-001,"Original box, original papers","Germany, München",40 mm,"$44,431"
Patek Philippe Aquanaut,Automatic,Rose gold,2021,Unworn,5072R-001,"Original box, original papers","United States of America, Texas, Laredo",35.6 mm,"$165,000"
Patek Philippe World Time,Automatic,Rose gold,2024,Unworn,7130R-014,"Original box, original papers","France, Paris",36 mm,"$56,235"
Patek Philippe Minute Repeater,Automatic,White gold,2023,Unworn,5178G-012,"Original box, original papers","Germany, Düsseldorf",-,"$556,780"
Patek Philippe Calatrava,Automatic,Yellow gold,1995,Very good,5000j,"Original box, original papers","Estonia, Tallinn",33 mm,"$19,487"
Patek Philippe Nautilus,Automatic,Steel,2024,New,5990/1A-011,"Original box, original papers","UAE, Dubai",40.5 mm,"$151,000"
Patek Philippe Aquanaut,Quartz,Steel,2023,Unworn,5267/200A-011,"Original box, original papers","UAE, Dubai",38.8 mm,"$59,700"
Patek Philippe Nautilus,Automatic,Rose gold,2020,Very good,7118/1200R 001,"Original box, original papers","United Kingdom, Bishops Stortford",35 mm,"$117,234"
Patek Philippe Aquanaut,Automatic,White gold,-,Unworn,5968G-001,"Original box, original papers","United States of America, New York, New York",42.2 mm,Price on request
Patek Philippe Perpetual Calendar,Automatic,White gold,2023,Unworn,5320G-011,"Original box, original papers","United States of America, New York, Brooklyn",40 mm,"$79,245"
Patek Philippe Nautilus,Automatic,Rose gold,2018,Good,5980/1400R-012,"Original box, original papers","Hong Kong, Hong Kong",40 x 38 mm,Price on request
Patek Philippe Annual Calendar,Automatic,White gold,-,Very good,5036/1,"No original box, no original papers","United States of America, Georgia, Atlanta",36.5 mm,"$30,290"
Patek Philippe Perpetual Calendar Chronograph,Manual winding,Rose gold,-,Unworn,5270R-1R,"Original box, original papers","United States of America, New York, New York",41 mm,Price on request
Patek Philippe Calatrava,Automatic,White gold,2024,Unworn,7234G-001,"Original box, original papers","Poland, Kraków",37.5 mm,"$45,656"
Patek Philippe,Manual winding,Yellow gold,1891,Good,Patek Philippe Waltham Pocket Watch,"No original box, no original papers","United States of America, Florida, Aventura",-,"$7,800"
Patek Philippe Annual Calendar,Automatic,-,-,New,4947R-001,"Original box, original papers","United States of America, Florida, North Miami Beach",-,"$61,860"
Patek Philippe Twenty~4,Automatic,White gold,-,Very good,4920G-010,"No original box, no original papers","Germany, Berlin",25 x 30 mm,"$12,249"
Patek Philippe Nautilus,Automatic,Steel,2022,New,5726A-001,"Original box, original papers","Germany, Bamberg",40.5 mm,"$111,245"
Patek Philippe Nautilus,Automatic,Rose gold,2023,Unworn,5712/1R-001,"Original box, original papers","United States of America, New York, New York",40 mm,"$227,999"
Patek Philippe Nautilus,Automatic,Steel,2007,Very good,5800/1A-001,"Original box, original papers","Switzerland, Genève",38 mm,"$116,924"
Patek Philippe Annual Calendar Chronograph,Automatic,Platinum,-,Good,5960P,"Original box, original papers","United States of America, New York, Hauppauge",-,Price on request
Patek Philippe Annual Calendar,Automatic,Rose gold,2021,New,4947R-001,"No original box, no original papers","Macao, 澳門",38 mm,"$52,277"
Patek Philippe Annual Calendar Chronograph,Automatic,Platinum,-,Very good,5960P,"Original box, no original papers","Italy, BRESCIA",40 mm,"$64,586"
Patek Philippe Annual Calendar,Automatic,Rose gold,2016,Very good,5396R-012,"No original box, no original papers","China, 惠州",38.5 mm,"$42,214"
Patek Philippe Twenty~4,Quartz,White gold,-,Very good,4920G,"Original box, original papers","Poland, Kraków",25 mm,"$15,152"
Patek Philippe Nautilus,Automatic,Steel,-,Very good,3800,"No original box, no original papers","Italy, Milano",37 mm,"$43,429"
Patek Philippe Nautilus,Automatic,Steel,2020,Unworn,7018/1A-001,"Original box, original papers","United States of America, New York, New York",33.6 mm,"$75,174"
Patek Philippe Perpetual Calendar,Automatic,Platinum,-,Unworn,5496P-014,"Original box, original papers","United States of America, New York, New York",39.5 mm,Price on request
Patek Philippe Aquanaut,Automatic,Rose gold,2023,Unworn,5968R,"Original box, original papers","United States of America, Florida, Miami",42.2 mm,"$120,500"
Patek Philippe,Manual winding,Red gold,-,Very good,5170,"Original box, original papers","Austria, Baden bei Wien",41 mm,"$65,143"
Patek Philippe Nautilus,Automatic,White gold,2022,Unworn,5712G-001,"Original box, original papers","United States of America, New York, New York",40 x 38 mm,"$87,745"
Patek Philippe Calatrava,Manual winding,Rose gold,-,Very good,5123R-001,"No original box, no original papers","Hong Kong, 999077",38 mm,"$12,469"
Patek Philippe Aquanaut,Automatic,White gold,2020,Unworn,5168G-001,"Original box, original papers","United Kingdom, LONDON",42.2 mm,Price on request
Patek Philippe Aquanaut,Automatic,White gold,2023,New,5168G-001,"Original box, original papers","United States of America, New York, New York",42.2 mm,"$97,500"
Patek Philippe Nautilus,Quartz,Rose gold,2024,New,7010R-013,"Original box, original papers","United States of America, Pennsylvania, Moosic",32 mm,"$52,500"
Patek Philippe Calatrava,Manual winding,White gold,2019,Unworn,4897/300G-001,"Original box, original papers","United States of America, New York, New York",33 mm,"$45,620"
Patek Philippe Nautilus,Automatic,White gold,2024,New,5980/60G-001,"Original box, original papers","Spain, Madrid",-,Price on request
Patek Philippe Nautilus,-,Steel,2012,-,5712/1A,"Original box, original papers","United States of America, New Hampshire, Nashua",40 mm,"$95,000"
Patek Philippe Calatrava,Automatic,Rose gold,2024,Unworn,5524R-001,"Original box, original papers","Germany, Düsseldorf",42 mm,"$51,224"
Patek Philippe Nautilus,Automatic,Yellow gold,2008,Very good,5711J-001,"Original box, original papers","United Kingdom, Hertfordshire",40 mm,"$78,193"
